player_id,name,throws
675848,"Mejia, Juan",R
682274,"Hiraldo, Yaramil",R
687562,"Bennett, Jake",L
661395,"Duran, Jhoan",R
697812,"Rock, Joe",L
700327,"Herrera, Welinton",L
646241,"De Jesus, Enmanuel",L
672335,"Pérez, Cionel",L
666277,"Soriano, George",R
677053,"Nardi, Andrew",L
683627,"Molina, Anthony",R
500779,"Quintana, Jose",L
663893,"Little, Brendon",L
700842,"Rivera, Eduardo",L
701656,"Henderson, Logan",R
579328,"Kikuchi, Yusei",L
671131,"Rutledge, Jackson",R
607074,"Rodón, Carlos",L
676604,"Zuber, Tyler",R
673929,"Leasure, Jordan",R
489446,"Yates, Kirby",R
669165,"Hurt, Kyle",R
621389,"Blach, Ty",L
664991,"Wolfram, Grant",L
678576,"Ramos, Wilkin",R
543056,"Coulombe, Danny",L
691946,"Klassen, George",R
641656,"Hamilton, Ian",R
663465,"Allard, Kolby",L
688158,"Morgan, David",R
641745,"Keller, Brad",R
670059,"Holderman, Colin",R
656794,"Newcomb, Sean",L
621366,"Borucki, Ryan",L
703615,"Cabrera, Jose",R
657044,"Thompson, Ryan",R
641302,"Alexander, Tyler",L
663992,"Lovelady, Richard",L
677865,"Bruihl, Justin",L
686973,"Varland, Louis",R
694346,"Gibson, Trey",R
656234,"Bird, Jake",R
657424,"Gage, Matt",L
573124,"Rogers, Taylor",L
687330,"Kelly, Kevin",R
664199,"Clarke, Taylor",R
687396,"Headrick, Brent",L
681892,"Funderburk, Kody",L
676775,"Winn, Keaton",R
686751,"Johnson, Seth",R
702275,"Ritchie, JR",R
695239,"Ahlstrom, Robby",L
670329,"Garcia, Rico",R
669062,"Miller, Erik",L
668984,"Legumina, Casey",R
642121,"Sulser, Cole",R
656464,"Ginkel, Kevin",R
621121,"McCullers Jr., Lance",R
624431,"Trevino, Jose",R
664299,"Javier, Cristian",R
687849,"Kent, Zak",R
686610,"Waldichuk, Ken",L
694397,"Raya, Marco",R
675627,"Grove, Michael",R
660710,"Durán, Rodolfo",R
699044,"Ullola, Miguel",R
677976,"Dobnak, Randy",R
668831,"Stallings, Garrett",R
621016,"Cuas, Jose",R
692437,"Santos, Winston",R
694350,"Brzykcy, Zach",R
687312,"Hughes, Gabriel",R
687239,"Peoples, Ben",R
668881,"Greene, Hunter",R
664702,"Straw, Myles",R
664849,"Young, Danny",L
675540,"Curry, Xzavion",R
666745,"Brito, Jhony",R
703725,"Gastelum, Luis",R
702352,"Bivens, Spencer",R
689017,"Knack, Landon",R
663776,"Sandoval, Patrick",L
670871,"Zuñiga, Guillo",R
671162,"Thomas, Connor",L
676910,"Seelinger, Matt",R
676680,"Cosgrove, Tom",L
678868,"Yean, Eddy",R
702566,"Murphy, Owen",R
623465,"Phillips, Evan",R
808970,"Go, Woo-Suk",R
669145,"Zimmermann, Bruce",L
